C:\Simulator_Data\IMG\center_2023_07_15_13_35_03_170.jpg, C:\Simulator_Data\IMG\left_2023_07_15_13_35_03_170.jpg, C:\Simulator_Data\IMG\right_2023_07_15_13_35_03_170.jpg, 0, 0, 0, 7.829033E-05
C:\Simulator_Data\IMG\center_2023_07_15_13_35_03_285.jpg, C:\Simulator_Data\IMG\left_2023_07_15_13_35_03_285.jpg, C:\Simulator_Data\IMG\right_2023_07_15_13_35_03_285.jpg, 0, 0, 0, 7.882801E-05
C:\Simulator_Data\IMG\center_2023_07_15_13_35_03_386.jpg, C:\Simulator_Data\IMG\left_2023_07_15_13_35_03_386.jpg, C:\Simulator_Data\IMG\right_2023_07_15_13_35_03_386.jpg, 0, 0, 0, 8.153688E-05
C:\Simulator_Data\IMG\center_2023_07_15_13_35_03_489.jpg, C:\Simulator_Data\IMG\left_2023_07_15_13_35_03_489.jpg, C:\Simulator_Data\IMG\right_2023_07_15_13_35_03_489.jpg, 0, 0, 0, 7.838876E-05
C:\Simulator_Data\IMG\center_2023_07_15_13_35_03_591.jpg, C:\Simulator_Data\IMG\left_2023_07_15_13_35_03_591.jpg, C:\Simulator_Data\IMG\right_2023_07_15_13_35_03_591.jpg, 0, 0, 0, 7.970828E-05
C:\Simulator_Data\IMG\center_2023_07_15_13_35_03_693.jpg, C:\Simulator_Data\IMG\left_2023_07_15_13_35_03_693.jpg, C:\Simulator_Data\IMG\right_2023_07_15_13_35_03_693.jpg, 0, 0, 0, 8.178912E-05
C:\Simulator_Data\IMG\center_2023_07_15_13_35_03_797.jpg, C:\Simulator_Data\IMG\left_2023_07_15_13_35_03_797.jpg, C:\Simulator_Data\IMG\right_2023_07_15_13_35_03_797.jpg, 0, 0, 0, 7.803733E-05
C:\Simulator_Data\IMG\center_2023_07_15_13_35_03_909.jpg, C:\Simulator_Data\IMG\left_2023_07_15_13_35_03_909.jpg, C:\Simulator_Data\IMG\right_2023_07_15_13_35_03_909.jpg, 0, 0, 0, 8.015765E-05
C:\Simulator_Data\IMG\center_2023_07_15_13_35_04_022.jpg, C:\Simulator_Data\IMG\left_2023_07_15_13_35_04_022.jpg, C:\Simulator_Data\IMG\right_2023_07_15_13_35_04_022.jpg, 0, 0, 0, 7.768655E-05
C:\Simulator_Data\IMG\center_2023_07_15_13_35_04_140.jpg, C:\Simulator_Data\IMG\left_2023_07_15_13_35_04_140.jpg, C:\Simulator_Data\IMG\right_2023_07_15_13_35_04_140.jpg, 0, 0, 0, 7.841759E-05
